model,actual_w,predicted_w
Linijinė regresija,5687.0892858,6839.702654314442
Linijinė regresija,7322.083333333333,7501.634931953839
Linijinė regresija,7275.5857142,8898.651318175193
Linijinė regresija,6080.064285714286,7050.680127919125
Linijinė regresija,9254.0839284,10770.867988659375
Linijinė regresija,7939.035714285714,8156.605641208562
Linijinė regresija,11227.2589285,12566.685015251664
Linijinė regresija,9365.032380952382,9513.953961689294
Linijinė regresija,13497.0303572,14207.954339461754
Linijinė regresija,7718.36,8345.821030786312
Linijinė regresija,14846.3482144,15115.966167830178
Linijinė regresija,12153.677142857145,11225.182900527572
Linijinė regresija,15990.1053571,15493.213545165465
Linijinė regresija,13477.820952380953,12444.090847575219
Linijinė regresija,17054.617857,16701.502176080667
Linijinė regresija,7758.378095238095,9086.906582711548
Linijinė regresija,18049.6357144,16569.118762194226
Linijinė regresija,17396.0357145,16974.17131446154
Linijinė regresija,13610.404285714283,11700.233326078487
Linijinė regresija,5864.74,15389.401103508862
Linijinė regresija,18726.4767865,17669.106524779938
Linijinė regresija,10282.488571428572,17076.120396009537
Linijinė regresija,19239.6124995,17255.88016895763
Linijinė regresija,12577.243809523809,12226.240265772907
Linijinė regresija,22164.6535708,18283.321052106556
Linijinė regresija,3506.09,18346.882204021145
Linijinė regresija,24857.7125,20092.199021599445
Linijinė regresija,0.0,15144.9913711907
Linijinė regresija,23407.5696423,18849.894562451103
Linijinė regresija,7473.686666666666,16998.712772048068
Linijinė regresija,23667.8285709,19186.529117740083
Linijinė regresija,10710.086666666666,16296.114500414373
Linijinė regresija,27388.460715,20486.200699596706
Linijinė regresija,10043.414761904762,14469.261579202092
Linijinė regresija,26818.498215,19969.32134623759
Linijinė regresija,10893.55380952381,14742.186840022365
Linijinė regresija,27300.3803574,20968.40170611879
Linijinė regresija,12727.106190476188,16240.082551363776
Linijinė regresija,27843.317856,20581.03735006268
Linijinė regresija,15280.313333333332,17930.12121498619
Linijinė regresija,23390.0464287,19835.285448645885
Linijinė regresija,15102.39619047619,18303.2804925334
Linijinė regresija,25436.933929,19578.876439268846
Linijinė regresija,10264.110476190475,15208.647090963594
Linijinė regresija,26291.596429,19729.13567417002
Linijinė regresija,13966.158571428572,16168.215872947025
Linijinė regresija,21083.9535714,18592.337933027484
Linijinė regresija,12035.44238095238,15138.519525606069
Linijinė regresija,19115.5964287,15027.14590532688
Linijinė regresija,12264.24,16000.995307104127
Linijinė regresija,16697.9928572,15512.493321866008
Linijinė regresija,18010.3053569,15417.054113672686
Linijinė regresija,5923.228095238095,9522.852395616115
Linijinė regresija,13095.15,13558.3273298091
Linijinė regresija,26234.928571,19849.533415715196
Linijinė regresija,23956.2767846,19907.443498398963
Linijinė regresija,10979.835238095238,11017.711399599804
Linijinė regresija,18154.373333333333,16622.942991467102
Linijinė regresija,18872.2107144,17845.67363931556
Linijinė regresija,22672.3375011,19020.224346283845
Linijinė regresija,8666.57,12001.530405166304
Linijinė regresija,22317.8821413,18720.963925213397
Linijinė regresija,12510.532857142856,11200.135112919175
Linijinė regresija,21348.4714275,18221.47588405731
Linijinė regresija,15353.454761904764,12203.170399497987
Linijinė regresija,16370.3642857,16425.195307862807
Linijinė regresija,14974.681904761905,12608.83834139489
Linijinė regresija,12491.4357144,12920.658164147968
Linijinė regresija,14478.486666666666,11114.861295201892
Linijinė regresija,14540.5160715,13419.60715344646
Linijinė regresija,9314.87380952381,8855.480506992499
Linijinė regresija,6426.1053571,9599.045056344941
Linijinė regresija,13120.100476190475,9327.228490371743
Linijinė regresija,8098.9142857,8278.498944272415
Linijinė regresija,9050.48,7914.684692905878
Linijinė regresija,4521.4874998,6278.022406741734
Linijinė regresija,10085.889523809525,7416.073296236756
Linijinė regresija,3533.3553572,4697.725986904615
Linijinė regresija,10614.094761904762,8070.7171338937
Linijinė regresija,3818.4089287,4697.246387197775
Linijinė regresija,6014.270476190476,5975.104694922996
Linijinė regresija,2660.9964286,3773.71833675534
Linijinė regresija,4274.7733333333335,4349.343705252538
